data-page-selector,full_address,County,Property Type,Subtype,Tenancy,Total Building SqFt,Total Building Suites,has_parking,Vacant SqFt
https://www.crexi.com/lease/properties/340439/california-olympic-hoover-center,"2300 W Olympic Blvd, Los Angeles, CA 90006",Los Angeles County,"Retail, Office, Restaurant","Traditional Office, Executive Office, Medical Office, sales office, insurance offices",Multiple,"21,653",,TRUE,"4,684"
https://www.crexi.com/lease/properties/985742/california-4529-s-vermont-ave,"4529 S Vermont Ave, Los Angeles, CA 90037",Los Angeles County,"Retail, Office, Restaurant","Traditional Office, Coworking, Creative Office",Single,,,FALSE,"1,800"
https://www.crexi.com/lease/properties/522661/4333-admiralty-way,"4333 Admiralty Way, Marina Del Rey, CA 90292",Los Angeles County,"Retail, Office, Restaurant","Executive Office, Traditional Office, Coworking, Medical Office, 1-3",Multiple,"421,244",,TRUE,"6,143"
https://www.crexi.com/lease/properties/946639/california-fullerton-court,"444 N Harbor Blvd, Fullerton, CA 92832",Orange County,"Retail, Office, Restaurant","Traditional Office, Shop Space, Retail, Office",Multiple,"25,000",1,TRUE,"2,239"
https://www.crexi.com/lease/properties/873400/california-315-n-beverly-dr,"315 - 319 N Beverly Dr, Beverly Hills, CA 90210",Los Angeles County,"Retail, Office, Restaurant",Executive Office,Multiple,"14,435",,TRUE,"14,435"
https://www.crexi.com/lease/properties/282506/california-moorpark-plaza,"530 Los Angeles Ave, Moorpark, CA 93021",Ventura County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"12,870",,TRUE,"9,540"
https://www.crexi.com/lease/properties/855870/california-downtown-laurel-street-san-carlos,"633 Laurel St, San Carlos, CA 94070",,"Retail, Office, Restaurant","Medical Office, Traditional Office, Restaurant, Showroom, retail, school, gym, tutor",Multiple,,,TRUE,"3,172"
https://www.crexi.com/lease/properties/782485/california-lincoln-plaza,"6211 N Pacific Ave, Stockton, CA 95211",,"Retail, Office, Restaurant","Medical Office, Executive Office, Creative Office, Spa Salon, Restaurant",Multiple,"73,000",8,FALSE,"9,145"
https://www.crexi.com/lease/properties/874996/california-suite-102,"58080 29 Palms Hwy, Yucca Valley, CA 92284",,"Retail, Office, Restaurant","Creative Office, Fast Food, Bakery",Multiple,"46,334",9,TRUE,"2,880"
https://www.crexi.com/lease/properties/652743/california-4110-4190-mission-blvd,"4110-4190 Mission Blvd, San Diego, CA 92109",San Diego County,"Retail, Office, Restaurant","Executive Office, Shopping Center, Boutiques",Multiple,"80,000",,TRUE,"1,845"
https://www.crexi.com/lease/properties/319324/california-2797-agoura-road,"2797 Agoura Rd, Westlake Village, CA 91361",Ventura County,"Retail, Office, Restaurant","Medical Office, Ground floor, 2nd Floor",Multiple,"22,427",,FALSE,"22,427"
https://www.crexi.com/lease/properties/754565/california-perris-pavilion-suite-103,"14920 Perris Blvd, Moreno Valley, CA 92553",,"Retail, Office, Restaurant",Foodcourt,Single,"24,702",,TRUE,"1,642"
https://www.crexi.com/lease/properties/785755/california-villaggio-toscano-office-space-in-healdsburg,"1260 Healdsburg Ave, Healdsburg, CA 95448",,"Retail, Office, Restaurant","Traditional Office, Executive Office, Medical Office, Creative Office",Multiple,"18,958",16,FALSE,895
https://www.crexi.com/lease/properties/376063/california-374-encinitas-blvd,"374 Encinitas Blvd, Encinitas, CA 92024",San Diego County,"Retail, Office, Restaurant","Executive Office, Commercial",Multiple,"3,700",2,FALSE,"3,700"
https://www.crexi.com/lease/properties/174734/california-2175-market-st,"2175 Market St, San Francisco, CA 94114",San Francisco County,"Retail, Office, Restaurant","Medical Office, Strip Center",Multiple,"3,146",,FALSE,946
https://www.crexi.com/lease/properties/48967/california-7475--7485-n-palm-avenue,"7475 N Palm Ave, Fresno, CA 93711",,"Retail, Office, Restaurant","Executive Office, corporate center",Multiple,"17,138",,FALSE,"17,138"
https://www.crexi.com/lease/properties/650855/california-fremont-town-center,"46848 Mission Blvd, Fremont, CA 94539",Alameda County,"Retail, Office, Restaurant","Medical Office, restaurant",Multiple,"117,068",,FALSE,"24,255"
https://www.crexi.com/lease/properties/301153/california-fremont-hub,"39201 Fremont Blvd, Fremont, CA 94538",Alameda,"Retail, Office, Restaurant","Medical Office, Commercial, Dental, Nail Salon",Multiple,"504,666",,TRUE,"94,872"
https://www.crexi.com/lease/properties/637327/california-vasco-ctr-130,"126 S Vasco Rd, Livermore, CA 94551",Alameda County,"Retail, Office, Restaurant","Traditional Office, Medical Office, Retail Space, Business Office, Spa Business, Foot Massage, Any Restaurant",Multiple,"9,558",6,FALSE,"1,200"
https://www.crexi.com/lease/properties/974769/california-rare-former-bank-space,"2450 N Brawley Ave, Fresno, CA 93722",,"Retail, Office, Restaurant",Traditional Office,Multiple,"12,470",1,TRUE,"4,000"
https://www.crexi.com/lease/properties/858165/california-freestanding-bank-building-with-drive-thru,"6950 Sunrise Blvd, Citrus Heights, CA 95610",Sacramento County,"Retail, Office, Restaurant","Drive Thru, Restaurant, Bank, Financial, Veterinarian, Medical, Office",Single,,,FALSE,"4,982"
https://www.crexi.com/lease/properties/468638/california-el-camino-north,"2335 Vista Way, Oceanside, CA 92054",San Diego County,"Retail, Office, Restaurant","Executive Office, Storefront",Multiple,"363,163",,TRUE,"67,721"
https://www.crexi.com/lease/properties/950476/california-1431-w-knox-st,"1431 W Knox St, Torrance, CA 90501",,"Retail, Office, Restaurant","Traditional Office, Shopping Center",Multiple,"51,219",,TRUE,"44,200"
https://www.crexi.com/lease/properties/868175/california-space-available-at-northwood-village,"7470 N Fresno St, Fresno, CA 93720",,"Retail, Office, Restaurant","Retail, Tailoring, Pet",Multiple,"10,000",,FALSE,"2,100"
https://www.crexi.com/lease/properties/980821/california-4420-s-main-street,"4420 Main St, Los Angeles, CA 90037",,"Retail, Office, Restaurant","Traditional Office, Executive Office, Coworking, Medical Office, Creative Office",Single,,,FALSE,"1,200"
https://www.crexi.com/lease/properties/48763/california-class-a-professional-office-complex,"7600 N Palm Ave, Fresno, CA 93711",,"Retail, Office, Restaurant","Executive Office, Professional & Strip Center",Multiple,"57,440",,FALSE,"6,982"
